SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1	dcf2
344	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
345	0	0	0	0	0	0	0	6	0.0	0.5027310324771355	0.8063145960537133
346	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
347	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
340	0	0	0	0	0	0	0	2	0.823653	0.0	0.0
341	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
342	0	0	0	0	0	0	0	6	0.0	0.5027310324771355	0.8063145960537133
343	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
2918	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
348	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
349	0	0	0	0	0	0	0	5	0.5973408731425077	0.2616238336630372	0.21221428629365105
3530	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
3002	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
2919	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
1653	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
2318	0	0	0	0	0	0	0	6	0.0	0.5027310324771355	0.8063145960537133
2319	0	0	0	0	0	0	0	2	0.823653	0.0	0.0
2316	0	0	0	0	0	0	0	6	0.0	0.5027310324771355	0.8063145960537133
2317	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
2314	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
2315	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
2312	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
2313	0	0	0	0	0	0	0	6	0.0	0.5027310324771355	0.8063145960537133
2310	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
2311	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
298	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
299	0	0	0	0	0	0	0	6	0.0	0.5027310324771355	0.8063145960537133
296	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
297	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
294	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
295	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
292	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
293	0	0	0	0	0	0	0	2	0.823653	0.0	0.0
290	0	0	0	0	0	0	0	1	0.823653	0.777275	0.782314
