SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
3724	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
3725	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
3798	0	0	0	0	0	0	0	0	0	7	0.6640021073729672	0.35440363802775554	0.7422093485609998	0.0272473839872	0.9103791419885301
344	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
345	0	0	0	0	0	0	0	0	0	5	0.0	0.0	0.0	0.337708	0.0
346	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
347	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
340	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
341	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
342	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
343	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
2918	0	0	0	0	0	0	0	0	0	7	0.6640021073729672	0.35440363802775554	0.7422093485609998	0.0272473839872	0.9103791419885301
348	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
349	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
3002	0	0	0	0	0	0	0	0	0	8	0.22063401304529415	0.24523606941631643	0.1718923277112554	0.3	0.35333291122541444
2919	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
2318	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
2319	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
2316	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
2317	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
2314	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
2315	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
2313	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
2310	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
2311	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
298	0	0	0	0	0	0	0	0	0	7	0.6640021073729672	0.35440363802775554	0.7422093485609998	0.0272473839872	0.9103791419885301
299	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
296	0	0	0	0	0	0	0	0	0	5	0.0	0.0	0.0	0.337708	0.0
297	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
294	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
295	0	0	0	0	0	0	0	0	0	7	0.6640021073729672	0.35440363802775554	0.7422093485609998	0.0272473839872	0.9103791419885301
293	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
290	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
291	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
3773	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
3772	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
3771	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
3770	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
3777	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
3776	0	0	0	0	0	0	0	0	0	1	0.781785	0.813018	0.764558	0.337708	0.9026722
