SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1	dcf2
13357	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
13356	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
11542	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
11543	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
11540	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
11541	0	0	0	0	0	0	0	6	0.12169288674355844	0.7244923136886933	0.0
11546	0	0	0	0	0	0	0	4	0.0	0.0	0.795224
11547	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
11544	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
11545	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
11548	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
11549	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
5988	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
5989	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
5982	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
5983	0	0	0	0	0	0	0	4	0.0	0.0	0.795224
5980	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
5981	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
5986	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
5987	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
5984	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
5985	0	0	0	0	0	0	0	6	0.12169288674355844	0.7244923136886933	0.0
12441	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
15267	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
18516	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
16070	0	0	0	0	0	0	0	4	0.0	0.0	0.795224
18441	0	0	0	0	0	0	0	4	0.0	0.0	0.795224
16074	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
6796	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
6797	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
6794	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
6795	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
6792	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
6793	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
6790	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
6791	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
13637	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
16642	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
6798	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
6799	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
18362	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
270	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
271	0	0	0	0	0	0	0	4	0.0	0.0	0.795224
272	0	0	0	0	0	0	0	4	0.0	0.0	0.795224
273	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
274	0	0	0	0	0	0	0	4	0.0	0.0	0.795224
275	0	0	0	0	0	0	0	4	0.0	0.0	0.795224
16255	0	0	0	0	0	0	0	6	0.12169288674355844	0.7244923136886933	0.0
277	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
278	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
279	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
16259	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
16258	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
16701	0	0	0	0	0	0	0	2	0.6362296821257345	0.0	0.0
16700	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
16703	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
16702	0	0	0	0	0	0	0	4	0.0	0.0	0.795224
12019	0	0	0	0	0	0	0	4	0.0	0.0	0.795224
12018	0	0	0	0	0	0	0	6	0.12169288674355844	0.7244923136886933	0.0
12015	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
12014	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
12017	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
12016	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
12011	0	0	0	0	0	0	0	1	0.852324	0.84079	0.795224
14475	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
12013	0	0	0	0	0	0	0	5	0.8572929986760923	0.8453181872496325	0.011495006682453051
