SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5	dcf6	dcf7	dcf8	dcf9
5988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.7532195005959702	0.2538997764892257	0.6459524915262137	0.36773532165892303	0.24622099189128377	0.7923095050401282	0.8970128250104453	0.02206307301669758	0.0019193787254996337	0.8040293237217032
5989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
5982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.7532195005959702	0.2538997764892257	0.6459524915262137	0.36773532165892303	0.24622099189128377	0.7923095050401282	0.8970128250104453	0.02206307301669758	0.0019193787254996337	0.8040293237217032
5983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0.7207240003673908	0.6622070167900654	0.5901619018704879	0.6515286713845773	0.5656008056853956	0.7737069202037387	0.82587804592581	0.6128990430129977	0.5815438960192842	0.741497905228341
5980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
5981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
5986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
5987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0.0019193787254996337	0.22207886470589933	0.0037641588338372515	0.024665889411167815	0.113667120408843	0.04206148384865333	0.27182497348045076	0.0022527120873019543	0.0011862412896422284	0.8034871584963211
5984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0.7207240003673908	0.6622070167900654	0.5901619018704879	0.6515286713845773	0.5656008056853956	0.7737069202037387	0.82587804592581	0.6128990430129977	0.5815438960192842	0.741497905228341
5985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.7532195005959702	0.2538997764892257	0.6459524915262137	0.36773532165892303	0.24622099189128377	0.7923095050401282	0.8970128250104453	0.02206307301669758	0.0019193787254996337	0.8040293237217032
6796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.7532195005959702	0.2538997764892257	0.6459524915262137	0.36773532165892303	0.24622099189128377	0.7923095050401282	0.8970128250104453	0.02206307301669758	0.0019193787254996337	0.8040293237217032
6794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
6795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
6792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
6793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
6791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
6798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0.07980235176507611	0.22914874203870303	0.06051193314909614	0.13954867113624983	0.1759405083285216	0.06582478431017191	0.07343436070481951	0.3675171413079552	0.12334725226773699	0.06571146046111824
270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0.7207240003673908	0.6622070167900654	0.5901619018704879	0.6515286713845773	0.5656008056853956	0.7737069202037387	0.82587804592581	0.6128990430129977	0.5815438960192842	0.741497905228341
272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0.7207240003673908	0.6622070167900654	0.5901619018704879	0.6515286713845773	0.5656008056853956	0.7737069202037387	0.82587804592581	0.6128990430129977	0.5815438960192842	0.741497905228341
275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0.0	0.0	0.0	0.0	0.0	0.6882530107858056	0.0	0.0	0.0	0.0
276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.7532195005959702	0.2538997764892257	0.6459524915262137	0.36773532165892303	0.24622099189128377	0.7923095050401282	0.8970128250104453	0.02206307301669758	0.0019193787254996337	0.8040293237217032
277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.7532195005959702	0.2538997764892257	0.6459524915262137	0.36773532165892303	0.24622099189128377	0.7923095050401282	0.8970128250104453	0.02206307301669758	0.0019193787254996337	0.8040293237217032
278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.7532195005959702	0.2538997764892257	0.6459524915262137	0.36773532165892303	0.24622099189128377	0.7923095050401282	0.8970128250104453	0.02206307301669758	0.0019193787254996337	0.8040293237217032
2143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
2142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0.7207240003673908	0.6622070167900654	0.5901619018704879	0.6515286713845773	0.5656008056853956	0.7737069202037387	0.82587804592581	0.6128990430129977	0.5815438960192842	0.741497905228341
3519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
3518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
3513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0.5770638553171221	0.0015195746405703633	0.5261179855355429	0.31852360330790486	0.0019193787254996337	0.0022527120873019543	0.0011862412896422284	0.0015195746405703633	0.0019193787254996337	0.0007331374358574057
3512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
3511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0.0019193787254996337	0.22207886470589933	0.0037641588338372515	0.024665889411167815	0.113667120408843	0.04206148384865333	0.27182497348045076	0.0022527120873019543	0.0011862412896422284	0.8034871584963211
3510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
3517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
3516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0.7207240003673908	0.6622070167900654	0.5901619018704879	0.6515286713845773	0.5656008056853956	0.7737069202037387	0.82587804592581	0.6128990430129977	0.5815438960192842	0.741497905228341
3515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.7532195005959702	0.2538997764892257	0.6459524915262137	0.36773532165892303	0.24622099189128377	0.7923095050401282	0.8970128250104453	0.02206307301669758	0.0019193787254996337	0.8040293237217032
3514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.7532195005959702	0.2538997764892257	0.6459524915262137	0.36773532165892303	0.24622099189128377	0.7923095050401282	0.8970128250104453	0.02206307301669758	0.0019193787254996337	0.8040293237217032
2688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0.40854328250847965	0.4206823848996907	0.33035299503204035	0.400635349167112	0.4025002374426313	0.4205616470714345	0.38091457637535986	0.29583812122375763	0.29990640322429163	0.3442119256685617
2689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0.7207240003673908	0.6622070167900654	0.5901619018704879	0.6515286713845773	0.5656008056853956	0.7737069202037387	0.82587804592581	0.6128990430129977	0.5815438960192842	0.741497905228341
2684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
2685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
2686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
2687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.818125	0.804225	0.678784	0.855016	0.708697	0.779171	0.891317	0.768776	0.674172	0.804066
2680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0.7532195005959702	0.2538997764892257	0.6459524915262137	0.36773532165892303	0.24622099189128377	0.7923095050401282	0.8970128250104453	0.02206307301669758	0.0019193787254996337	0.8040293237217032
