SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3
5988	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
5989	0	0	0	0	0	0	0	0	0	0	9	0.0035843972695640412	0.5636597663890003	0.8644816131492385	0.0
5982	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
5983	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
5980	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
5981	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
5986	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
5987	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
5984	0	0	0	0	0	0	0	0	0	0	9	0.0035843972695640412	0.5636597663890003	0.8644816131492385	0.0
5985	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
6796	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
6797	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
6794	0	0	0	0	0	0	0	0	0	0	8	0.8169191267592367	0.02452280443310322	0.02759153562513654	0.7156317063729686
6795	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
6792	0	0	0	0	0	0	0	0	0	0	9	0.0035843972695640412	0.5636597663890003	0.8644816131492385	0.0
6793	0	0	0	0	0	0	0	0	0	0	7	0.23522666915910678	0.869176962471609	0.9144884862732385	0.23501222190060747
6790	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
6791	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
6798	0	0	0	0	0	0	0	0	0	0	2	0.8964067001489561	0.0	0.0	0.0
6799	0	0	0	0	0	0	0	0	0	0	8	0.8169191267592367	0.02452280443310322	0.02759153562513654	0.7156317063729686
270	0	0	0	0	0	0	0	0	0	0	8	0.8169191267592367	0.02452280443310322	0.02759153562513654	0.7156317063729686
271	0	0	0	0	0	0	0	0	0	0	8	0.8169191267592367	0.02452280443310322	0.02759153562513654	0.7156317063729686
272	0	0	0	0	0	0	0	0	0	0	6	0.009292315221325344	0.8956034259909417	0.936095902448863	0.0
273	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
274	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
275	0	0	0	0	0	0	0	0	0	0	8	0.8169191267592367	0.02452280443310322	0.02759153562513654	0.7156317063729686
276	0	0	0	0	0	0	0	0	0	0	5	0.0	0.0	0.0	0.7201648022447915
277	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
278	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
279	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
9258	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
9259	0	0	0	0	0	0	0	0	0	0	8	0.8169191267592367	0.02452280443310322	0.02759153562513654	0.7156317063729686
9256	0	0	0	0	0	0	0	0	0	0	5	0.0	0.0	0.0	0.7201648022447915
9257	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
9254	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
9255	0	0	0	0	0	0	0	0	0	0	7	0.23522666915910678	0.869176962471609	0.9144884862732385	0.23501222190060747
9252	0	0	0	0	0	0	0	0	0	0	9	0.0035843972695640412	0.5636597663890003	0.8644816131492385	0.0
9253	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
9250	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
9251	0	0	0	0	0	0	0	0	0	0	6	0.009292315221325344	0.8956034259909417	0.936095902448863	0.0
2143	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
2142	0	0	0	0	0	0	0	0	0	0	6	0.009292315221325344	0.8956034259909417	0.936095902448863	0.0
3519	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
3518	0	0	0	0	0	0	0	0	0	0	6	0.009292315221325344	0.8956034259909417	0.936095902448863	0.0
3513	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
3511	0	0	0	0	0	0	0	0	0	0	5	0.0	0.0	0.0	0.7201648022447915
3510	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
3517	0	0	0	0	0	0	0	0	0	0	8	0.8169191267592367	0.02452280443310322	0.02759153562513654	0.7156317063729686
3516	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
3515	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
3514	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
2688	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
2685	0	0	0	0	0	0	0	0	0	0	8	0.8169191267592367	0.02452280443310322	0.02759153562513654	0.7156317063729686
2686	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
2687	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
2680	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
2681	0	0	0	0	0	0	0	0	0	0	6	0.009292315221325344	0.8956034259909417	0.936095902448863	0.0
2682	0	0	0	0	0	0	0	0	0	0	9	0.0035843972695640412	0.5636597663890003	0.8644816131492385	0.0
2683	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
99	0	0	0	0	0	0	0	0	0	0	7	0.23522666915910678	0.869176962471609	0.9144884862732385	0.23501222190060747
98	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
91	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
90	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
93	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
92	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
95	0	0	0	0	0	0	0	0	0	0	1	0.9388713	0.868766	0.9143428	0.824142
